address,flow_symmetry,in_degree,inflow_usd,n_transfers,out_degree,outflow_usd,total_volume_usd
0xf394287268a530968b8769c84f890a3cb9034790,0.9999999999999998,1,2145218161.7331862,394,1,2145218161.7331858,4290436323.466372
0xc29bf263bded90b43585dafe876d4e9808eb56fe,0.9999999999999998,6,2126201809.2252355,284,1,2126201809.225236,4252403618.4504714
0xc36442b4a4522e871399cd717abdd847ab11fe88,0.9999999999999999,8,2119861439.5967216,35972,5022,2119861439.5967214,4239722879.1934433
0x16c6521dff6bab339122a0fe25a9116693265353,0.9999999999999999,12402,2113128211.5566652,91826,5280,2113128211.5566654,4226256423.113331
0x2544b6eda4ff166cfb1f645a80b51e08d414a11f,1.0,14,2103755703.1761265,3674,16,2103755703.1761265,4207511406.352253
0xc01d5a1bb3d9d14d933098d5fe4df9f73eb1f001,0.999999999999999,17,2096572567.6695492,6870,1,2096572567.6695514,4193145135.339101
0x85464b207d7c1fce8da13d2f3d950c796e399a9c,0.9998389930846103,69,2090617926.019881,3063,32,2090281322.0763543,4180899248.0962353
0x9642b23ed1e01df1092b92641051881a322f5d4e,0.9967381536996289,61987,2046864768.4603422,376543,88142,2040188210.18798,4087052978.648322
0xefd7931decf7a2c04ef8ccbe563ffe0087fd1f24,0.9999999999999998,4,2038498690.1412606,14923,1,2038498690.1412601,4076997380.282521
0x3a61da6d37493e2f248a6832f49b52af0a6f4fbb,0.9999999998855241,78,2019408070.7897873,2669,6,2019408071.0209608,4038816141.810748
0xca6d701c1665bfb9eaed95bea2706a322e34393a,0.9999999502425654,14,2019375154.275258,497,16,2019375053.796331,4038750208.071589
0x66e092fd00c4e4eb5bd20f5392c1902d738ae7bc,0.9980508994284044,165,1997241084.1912644,6588,106,2001141510.2527416,3998382594.444006
0x5392bd00571157fa11103b0ee6d492c9563a6799,1.0,11,1981976074.898718,1435,1,1981976074.898718,3963952149.797436
0x3ed3b47dd13ec9a98b44e6204a523e766b225811,0.9898920022041837,489,1964929790.7410553,8077,569,1984994106.7972703,3949923897.5383253
0x688344d10928adc4bcf846e6ed5ee0b2cafe4786,0.8806278020626281,9,2094290001.6105084,101,5,1844290001.0,3938580002.6105084
0x0b2fdf416cf2951499de9a1adac65c8e9907c8c2,1.0,2,1955484235.9276392,6624,1,1955484235.9276392,3910968471.8552785
0xcee284f754e854890e311e3280b767f80797180d,0.8268056911357552,1680,2138359414.3671486,6209,625,1768007733.492479,3906367147.8596277
